사업장명,소재지전체주소,전화번호,위치정보(X),위치정보(Y)
배스킨라빈스,서울특별시 종로구 평창동 182-11번지 ,,197105.9054,456289.0779
Percheno(페르케노),서울특별시 서초구 잠원동 70-2번지 뉴코아아울렛 본관 지하1층 ,,200657.7041,445529.6019
베스킨라빈스,서울특별시 성북구 안암동5가 102-10번지 ,02 9240805,202609.5533,453941.4687
젤라몬(Gelamon),서울특별시 서초구 양재동 215번지 리빙관지하1층 B120호 ,,203269.7889,440451.6922
배스킨라빈스(상계백병원점),서울특별시 노원구 상계동 763-7번지 동일프라자빌딩 108호,,205471.3485,460987.0827
민지가 좋아하는 아이스크림,서울특별시 종로구 명륜4가 29-1번지 1층 ,02  745 3714,200133.7191,453682.3009
배스킨라빈스 이대캠퍼스점,서울특별시 서대문구 대현동 11-1번지 기숙사 신관 B동 ,02  22764948,195608.069,451880.904
베스킨라빈스 수유벽산점,서울특별시 강북구 수유동 360-21번지 1층 ,,201465.1318,460162.7328
배스킨라빈스 이대역점,서울특별시 서대문구 대현동 40-21번지 1층 ,,195165.226,450829.196
젤라뚜또,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,031  7087997,198319.4571,451265.542
디팍스,서울특별시 마포구 서교동 366-19번지 ,,193046.6383,450263.2539
지올리띠,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,032 624 3362,198385.9041,451688.4985
프로즌 브라이드(얼음신부),서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,,198385.9041,451688.4985
베스킨라빈스 독립문점,서울특별시 서대문구 영천동 293번지 1층 ,,196571.5707,452381.3198
영식이의 냉장고,서울특별시 양천구 신정동 985-16번지 지상1층 ,,187570.642,447200.7001
백미당 롯데 명동점,서울특별시 중구 소공동 1번지 지하1층 ,,198385.9041,451688.4985
소프트리 가양점,"서울특별시 강서구 등촌동 73-1번지 (등촌3동), 금부빌딩 S-1호",,187036.1941,451351.0978
배스킨라빈스 교대역점,서울특별시 서초구 서초동 1689-1번지 1층 ,,201559.5967,443965.8541
나뚜루 수서역사점,서울특별시 강남구 수서동 207-1번지 ,02 5808142,209141,442587
바세츠아이스크림(양재본점),서울특별시 서초구 양재동 326-10번지 동호빌딩 1층1호 ,,203585.6797,441090.7874
백미당 마리오아울렛점,서울특별시 금천구 가산동 60-52번지 마리오2 패션타워 ,02 5125896,189958.8097,442148.4375
배스킨라빈스 봉천역점,서울특별시 관악구 봉천동 930-1번지 ,,194852.1794,442517.1051
GS25 삼각산SK점,서울특별시 강북구 미아동 1353번지 ,,201328.627,457805.1718
미향원,서울특별시 양천구 목동 962번지 목동트라팰리스 ,7042046008,188625.4063,447406.9787
아사이 프루티,서울특별시 송파구 잠실동 40-1번지 롯데마트 잠실점 지하1층 ,,208883.7238,445791.327
배스킨라빈스(신창),서울특별시 도봉구 창동 552-47번지 1층 ,02  903 8811,203300.1684,459778.1091
백미당 현대 신촌점,서울특별시 서대문구 창천동 30-33번지 현대백화점신촌점지하1층 ,,194331.3213,450730.5776
부르스터스 롯데백화점관악점,서울특별시 관악구 봉천동 729-22번지 ,,193365.6542,443451.8864
알래스카랩,서울특별시 중구 남대문로5가 541번지 서울스케어 지하1층 ,,197680.6962,450664.6521
빈둥백수네 빙수,서울특별시 금천구 시흥동 793-1번지 1층 ,,191854.474,440279.1676
백미당 현대미아점,서울특별시 성북구 길음동 20-1번지 ,,202538.0105,456535.5908
아이스팩트리,서울특별시 은평구 진관동 63번지 롯데몰 은평점 2층30호 ,031 345 7520,192654,459365
베스킨라빈스선유도역점,서울특별시 영등포구 양평동4가 121번지 1층 ,,190743.1274,448660.569
베스킨라빈스 상왕십리 센트라스점,서울특별시 성동구 하왕십리동 700번지 ,1089586995,202122,451451
배스킨라빈스 교대점,서울특별시 서초구 서초동 1576-9번지 1층 ,,201236.0558,443420.7539
프로즌브라이드가산점,서울특별시 금천구 가산동 60-8번지 현대시티아울렛 가산점 ,7077210070,190186.7428,442025.906
한아름마트,서울특별시 마포구 현석동 17번지 ,,194163.9878,449397.5334
배스킨라빈스 천호역,서울특별시 강동구 천호동 455번지 천호역 ,02  64846116,210936.3537,448877.4148
배스킨라빈스 고속터미널역,서울특별시 서초구 반포동 19-4번지 지하1층 ,02  63216102,200630.39,445218.4195
모노비,서울특별시 영등포구 신길동 501번지 순흥빌딩 4층일부 ,02 8340189,192922.2326,444471.5427
수제젤라또아이스크림,서울특별시 성동구 성수동1가 22-28번지 정인숙보습학원 ,,204346.926,449349.0529
크럼펫트리오,서울특별시 용산구 한남동 743-5번지 오렌지하우스 지1층 ,,199959.9252,448650.0538
배스킨라빈스 롯데월드어드벤처,서울특별시 송파구 잠실동 40-1번지 롯데월드 ,02  22764639,208883.7238,445791.327
주식회사올코코,서울특별시 중구 소공동 1번지 롯데백화점 본점 지하1층 ,02 4043388,198385.9041,451688.4985
기대치 마리오아울렛점,서울특별시 금천구 가산동 60-52번지 마리오아울렛2관 3층 ,,189958.8097,442148.4375
배스킨라빈스 중랑역점,서울특별시 중랑구 중화동 208-33번지 ,02 4343177,206624.4066,454939.1433
웬디스 밀크바,서울특별시 중구 소공동 1번지 지하1층식품관 ,02  546 8892,198385.9041,451688.4985
배스킨라빈스 금천가산점,서울특별시 금천구 가산동 153-1번지 동보빌딩 102호,,190528.9448,441803.6038
Shelly(쉘리),서울특별시 서초구 잠원동 70-2번지 ,02  522 9752,200657.7041,445529.6019
장보러가자,서울특별시 구로구 천왕동 156-14번지 센터프라자 1층 ,,185793.4738,442396.3508
북촌빙수 삼청동본점,서울특별시 종로구 팔판동 64번지 ,1053463513,198333.1392,453606.8926
나이스크림(Nicecream),서울특별시 양천구 신정동 319번지 우림필유지상1층 101-1호,,188424.9822,446832.1408
우유니,서울특별시 강남구 대치동 1022-3번지 ,,205211.813,444253.6674
