사업장명,소재지전체주소,전화번호,위치정보(X),위치정보(Y)
점프스쿨,서울특별시 양천구 목동 808-1번지 경원빌딩 지상6층 ,,188024.8824,447776.8362
바오밥키즈카페,서울특별시 관악구 봉천동 14-4번지 ,,196347.285,443185.76
쑥쑥팡팡,서울특별시 양천구 신월동 20-28번지 세진아파트상가 2층 204호,02-2605-7942,185253.8337,449061.2832
키즈스타판다캣,서울특별시 양천구 목동 916번지 현대백화점 목동점 5층(목동동로 293) ,02-2163-1560,189005.1392,447530.1143
올포유 키즈카페,서울특별시 강서구 마곡동 348-3번지 외 1필지 (지상 3층) ,,184346.3162,452133.8211
키블리,서울특별시 도봉구 창동 826번지 103동 401호,02-905-2484,203777.1968,461780.619
까페 이튼,서울특별시 서대문구 북가좌동 377-3번지 지하1층 ,02-302-0720,191997.2649,453154.1466
꿈노리,서울특별시 중랑구 중화동 288-27번지 ,02-491-4027,207084.8556,455586.5092
리틀비틀,서울특별시 강북구 수유동 188-26번지 ,,202000.6311,460245.9181
히어로 코딩파크 은평1호점,서울특별시 은평구 녹번동 117-44번지 지하1층 ,,194009.254,456441.7054
아이점프(문래점),서울특별시 영등포구 문래동3가 82-8번지 태양프라자 3층 ,02-2672-8669,190361.2183,446708.3291
(주)플레이타임그룹 HD디큐브시티점 맘스카페,서울특별시 구로구 신도림동 692번지 현대백화점디큐브시티 4층 ,02-2210-9409,190210.5118,445488.901
키즈카페 하이아이,서울특별시 강남구 도곡동 467-7번지 ,,204513,442932
방방박사,서울특별시 영등포구 당산동5가 8번지 데시앙루브 지하1층 111111-1112112-1호 일부 ,,191152.4916,448099.7525
Hi 키즈카페,서울특별시 강북구 수유동 338-6번지 3층 ,,201472.0469,460324.9154
키즈 헤어 타임,서울특별시 강동구 명일동 325-11번지 메가타운 204호 ,,212864.2849,450102.2853
몽키팡팡,서울특별시 강동구 명일동 48번지 주양쇼핑 4층 4002호 ,02-3427-8943,213560.2264,450330.4992
점프런,서울특별시 강동구 천호동 234-6번지 ,,211913.1793,449698.7715
점핑파티,서울특별시 중랑구 면목동 499-4번지 ,02-6080-9559,207784.8066,453829.823
아이플레이,서울특별시 중구 을지로7가 2-1번지 1층 ,02-335-3939,201010.2625,451995.1631
(주)플레이타임그룹홈플러스상봉점상상노리맘스카페,서울특별시 중랑구 상봉동 500번지 ,02-2209-0970,208091.2692,455421.8266
헬로방방,서울특별시 강남구 대치동 507-2번지 대치퍼스트빌딩 ,,205567.0049,443826.9032
자그마니,서울특별시 은평구 신사동 7-4번지 3층 302호,02-382-1008,192094.3877,455798.5968
늘푸른 키즈 놀이터(카페),서울특별시 은평구 신사동 20-26번지 ,,192179.8963,455421.9787
키즈팡팡 구산점,서울특별시 은평구 갈현동 464-4번지 6층 ,,192685.0588,457079.1028
헬로방방 마곡점,서울특별시 강서구 마곡동 768-2번지 동익드미라벨복합빌딩 (지상 2층) 236호,02-2666-4857,184386,451226
타요키즈카페엔뽀로로샵아트몰링장안점,서울특별시 동대문구 장안동 368-1번지 바우하우스 ,,206394.7356,452489.2208
타요키즈카페 우장산역점,서울특별시 강서구 화곡동 1165-1번지 강서힐스테이트 (지상 5층) 상가동 516호,02-2601-0120,185570.8979,449764.2657
러브앤베베,서울특별시 강서구 내발산동 750-5번지 발산1동 발산시티타워 1001호,,184642.2243,450355.2507
아가랑베이비카페,서울특별시 노원구 공릉동 379-25번지 3층 ,,206304.8391,458489.0541
리틀비틀아현점,서울특별시 마포구 아현동 395-1번지 정원헵시바 ,,196644.9873,450257.0132
쁘띠몽드 마포중앙도서관점,서울특별시 마포구 성산동 275-3번지 마포중앙도서관 1층1호 ,,191956.4293,451621.7907
(주)엔비져블펀토리하우스영등포점,서울특별시 영등포구 영등포동8가 35-1번지 리마크빌 영등포 2층 207호 ,,191619.2275,447527.9323
씨드랜드,서울특별시 송파구 문정동 618번지 파크하비오(하비오타워205동 법조대로302호 303호) ,,210966,442050
쁘띠몽드 자곡점,서울특별시 강남구 자곡동 634번지 ,02-3412-7100,208367.1264,441091.5246
해피팝,서울특별시 강서구 가양동 1480-8번지 3층 2동 ,02-3663-7942,186943.8419,451511.6801
헬로방방 돌곶이역점,서울특별시 성북구 석관동 349-1번지 장위뉴타워 ,02-959-0077,205024.5606,456759.336
그레이트피그미풀,서울특별시 성동구 행당동 168-151번지 5층 에스피05호 ,,203392.2377,451324.0853
LITTLE BEETLE 상계점(리틀비틀),서울특별시 노원구 상계동 963-2번지 ,02-935-3354,204885.6334,463465.4873
뛰노리방방,서울특별시 도봉구 방학동 671-18번지 지하1층 ,02-956-5337,203083.8546,462493.4168
점핑플레이 키즈카페,서울특별시 강남구 자곡동 633번지 S-플라자 ,02-2226-6182,208346,441104
리틀앙팡 키즈카페,서울특별시 강북구 미아동 7-5번지 대지쇼핑프라자 ,,203073.5449,457121.1119
점핑하우스,서울특별시 마포구 성산동 160-4번지 지하1층 ,,191663.7665,452087.0834
타요키즈카페보라매점,서울특별시 동작구 신대방동 395-69번지 ,02-319-8585,193287.2792,443538.4807
키즈플래닛,서울특별시 강남구 청담동 28-13번지 ,,204159.9778,446716.4839
타요키즈카페 은평뉴타운점,서울특별시 은평구 진관동 100-6번지 메이플카운티 2차 207호211호 ,,192748,459127
쁘띠몽드 키즈카페,서울특별시 성동구 성수동2가 289-8번지 ,02-0463-4567,205070.4849,449637.1674
키즈앤팡,서울특별시 노원구 중계동 58-20번지 4층 ,02-931-0694,207243.5248,460863.2738
헬로방방 신도림점,서울특별시 구로구 신도림동 437-1번지 태영프라자 713호,,189692.8624,445219.9123
모모와(momowa),서울특별시 강남구 역삼동 784-1번지 ,,204007.4838,443971.8989
아트아이색놀이터,서울특별시 마포구 현석동 10-1번지 1층 ,,194200.0802,449413.4073
